chr1	100000000	200000000
chr2	100000000	200000000
chr3	100000000	200000000
chr4	100000000	200000000
chr5	100000000	200000000
chr6	100000000	200000000
chr7	100000000	200000000
chr8	100000000	200000000
chr9	100000000	200000000
chr10	100000000	200000000
chr11	100000000	200000000
chr12	100000000	200000000
chr13	100000000	200000000
chr14	100000000	200000000
chr15	100000000	200000000
chr16	100000000	200000000
chr17	100000000	200000000
chr18	100000000	200000000
chr19	100000000	200000000
chr20	100000000	200000000
chr21	100000000	200000000
chr22	100000000	200000000
chrX	100000000	200000000
