chr1	10000000	60000000
chr2	10000000	60000000
chr3	10000000	60000000
chr4	10000000	60000000
chr5	10000000	60000000
chr6	10000000	60000000
chr7	10000000	60000000
chr8	10000000	60000000
chr9	10000000	60000000
chr10	10000000	60000000
chr11	10000000	60000000
chr12	10000000	60000000
chr13	10000000	60000000
chr14	10000000	60000000
chr15	10000000	60000000
chr16	10000000	60000000
chr17	10000000	60000000
chr18	10000000	60000000
chr19	10000000	60000000
chr20	10000000	60000000
chr21	10000000	60000000
chr22	10000000	60000000
chrX	10000000	60000000
