chr1	248000000	250000000
chr2	248000000	250000000
chr3	248000000	250000000
chr4	248000000	250000000
chr5	248000000	250000000
chr6	248000000	250000000
chr7	248000000	250000000
chr8	248000000	250000000
chr9	248000000	250000000
chr10	248000000	250000000
chr11	248000000	250000000
chr12	248000000	250000000
chr13	248000000	250000000
chr14	248000000	250000000
chr15	248000000	250000000
chr16	248000000	250000000
chr17	248000000	250000000
chr18	248000000	250000000
chr19	248000000	250000000
chr20	248000000	250000000
chr21	248000000	250000000
chr22	248000000	250000000
chrX	248000000	250000000
