chr1	200000000	250000000
chr2	200000000	250000000
chr3	200000000	250000000
chr4	200000000	250000000
chr5	200000000	250000000
chr6	200000000	250000000
chr7	200000000	250000000
chr8	200000000	250000000
chr9	200000000	250000000
chr10	200000000	250000000
chr11	200000000	250000000
chr12	200000000	250000000
chr13	200000000	250000000
chr14	200000000	250000000
chr15	200000000	250000000
chr16	200000000	250000000
chr17	200000000	250000000
chr18	200000000	250000000
chr19	200000000	250000000
chr20	200000000	250000000
chr21	200000000	250000000
chr22	200000000	250000000
chrX	200000000	250000000
